en_word,pt_word
the,o
I,EU
to,para
and,e
a,um
of,de
was,era
he,ele
you,você
it,isto
in,em
her,dela
she,ela
that,que
my,meu
his,dele
me,meu
on,sobre
with,com
at,no
as,como
had,tive
for,para
but,mas
him,ele
said,disse
be,ser
up,acima
out,fora
look,olhar
so,então
have,ter
what,o que
not,não
just,apenas
like,como
go,ir
they,eles
is,é
this,esse
from,de
all,todos
we,nós
were,eram
back,voltar
do,fazer
one,um
about,sobre
know,saber
if,se
when,quando
get,pegar
then,então
into,em
would,seria
no,não
there,lá
I'm,Eu sou
could,poderia
don't,não
ask,perguntar
down,abaixo
time,tempo
didn't,não
want,querer
eye,olho
them,eles
over,sobre
your,seu
are,são
or,ou
been,estive
now,agora
an,um
by,por
think,pensar
see,ver
hand,mão
it's,isso é
say,dizer
how,como
around,em volta
head,cabeça
did,fez
well,bem
before,antes
off,desligado
who,Quem
more,mais
even,até
turn,vez
come,vir
smile,sorriso
way,caminho ou maneira
really,realmente
can,pode
face,face
other,outro
some,alguns
right,certo
their,deles
only,apenas
walk,andar
make,fazer
got,pegou
try,tentar
something,algo
room,sala
again,de novo
thing,coisa
after,depois
still,ainda
thought,pensamento
door,porta
here,aqui
too,também
little,pequeno
because,porque
why,por que
away,ausente
let,deixar
take,pegar
two,dois
start,começar
good,bom
where,onde
never,nunca
through,através
day,dia
much,muito
tell,dizer
wasn't,não foi
girl,garota
feel,sentir
oh,oh
you're,você é
call,chamar
talk,falar
will,vai
long,longo
than,que
us,nós
made,feito
friend,amigo
knew,sabia
open,abrir
need,precisar
first,primeiro
which,qual
people,pessoas
that's,isso é
went,foi
sure,claro
seem,parecer
stop,parar
voice,voz
very,muito
felt,sentido
took,pegou
our,nosso
pull,puxar
laugh,rir
man,homem
okay,OK
close,fechar
any,qualquer
came,veio
told,contado
love,amor
watch,assistir
arm,braço
anything,qualquer coisa
I'll,Doente
though,no entanto
put,colocar
left,esquerda
work,trabalhar
guy,cara
hair,cabelo
next,próximo
couldn't,não poderia
yeah,sim
while,enquanto
mean,significar
home,lar
few,alguns
saw,serra
place,lugar
school,escola
help,ajuda
wait,espere
late,tarde
year,ano
can't,não pode
house,casa
happen,acontecer
last,durar
always,sempre
move,mover
old,velho
night,noite
nod,acenar
life,vida
give,dar
sit,sentar
stare,olhar
sat,sentado
should,deve
moment,momento
another,outro
behind,atrás
side,lado
sound,som
once,uma vez
find,encontrar
toward,na direção
boy,garoto
ever,sempre
nothing,nada
front,frente
mother,mãe
name,nome
am,sou
since,desde
reply,responder
he's,ele é
myself,eu mesmo
leave,deixar
bed,cama
new,novo
car,carro
use,usar
mind,mente
maybe,talvez
has,tem
heard,ouviu
answer,responder
minute,minuto
yes,sim
until,até
both,ambos
found,encontrado
end,fim
small,pequeno
I'd,Eu ia
word,palavra
someone,alguém
same,mesmo
enough,suficiente
began,começou
run,correr
bit,pedaço
sigh,suspirar
each,cada
those,aqueles
almost,quase
against,contra
everything,tudo
most,maioria
thank,agradecer
wouldn't,não iria
mom,mãe
better,melhorar
play,jogar
I've,eu tenho
own,ter
every,todo
hard,duro
remember,lembrar
three,três
stood,permaneceu
live,ao vivo
stand,ficar
second,segundo
sorry,desculpe
keep,manter
finally,finalmente
point,apontar
gave,deu
already,já
actually,na verdade
probably,provavelmente
himself,ele mesmo
big,grande
everyone,todos
guess,adivinhar
lot,muito
step,etapa
hey,ei
hear,ouvir
light,luz
quickly,rapidamente
dad,pai
kiss,beijo
black,preto
pick,escolha
else,outro
soon,breve
shoulder,ombro
table,mesa
best,melhor
without,sem
notice,perceber
stay,ficar
care,cuidado
phone,telefone
reach,alcançar
realize,entender
follow,seguir
decide,decidir
kind,tipo
she's,ela é
grab,pegar
he'd(would),ele iria
he'd(had),ele tinha
show,mostrar
inside,dentro
suddenly,de repente
father,pai
rest,descansar
herself,ela mesma
grin,sorriso
hour,hora
hope,ter esperança
also,também
body,corpo
might,poder
hadn't,não tinha
floor,chão
its,isso é
continue,continuar
ran,corrido
across,entre
hold,segurar
cry,chorar
half,metade
pretty,bonito
great,ótimo
course,curso
mouth,boca
class,aula
kid,criança
miss,perder
wonder,maravilha
morning,manhã
least,ao menos
nice,legal
dark,escuro
slowly,devagar
done,feito
change,mudar
doesn't,não
together,junto
yet,ainda
question,pergunta
anyway,de qualquer forma
bad,ruim
blue,azul
believe,acreditar
week,semana
God,Deus
lip,lábio
Mr.,Senhor.
sleep,dormir
fine,multar
what's,o que é
family,família
many,muitos
worry,preocupar
roll,rolar
parents,pais
under,sob
surprise,surpresa
water,água
onto,para
we're,somos ou estamos
glance,olhar
wall,parede
between,entre
seen,visto
read,ler
window,janela
idea,ideia
white,branco
push,empurrar
feet,pés
must,deve
such,tal
seat,assento
set,definir
please,por favor
red,vermelho
brother,irmão
these,esses
whole,todo
lean,magro
part,papel
person,pessoa
slightly,um pouco
pass,passar
shook,tremeu
fact,fato
wrong,errado
gone,perdido
far,distante
hit,bater
finger,dedo
quite,bastante
hate,odiar
meet,encontrar
finish,terminar
heart,coração
book,livro
past,passado
kill,matar
reason,razão
anyone,qualquer um
figure,figura
top,principal
along,junto
world,mundo
she'd,cabana
high,alto
shirt,camisa
does,faz
today,hoje
young,jovem
held,mantido
outside,fora
listen,ouvir
whisper,sussurrar
won't,não vai
happy,feliz
ground,chão
deep,profundo
drop,derrubar
shrug,encolher os ombros
dress,vestir
fell,caiu
there's,há
yell,gritar
breath,respiração
air,ar
tear,rasgar
sister,irmã
chair,cadeira
kitchen,cozinha
matter,matéria
hurt,ferir
fall,cair
wear,vestir
isn't,não é
woman,mulher
eat,comer
lie,mentira
hell,inferno
suppose,suponha
cover,cobrir
couple,casal
large,grande
either,qualquer
five,cinco
leg,perna
jump,pular
die,o
return,retornar
able,capaz
bag,bolsa
alone,sozinho
shut,fechar
stuff,coisa
short,curto
ready,preparar
understand,entender
kept,mantido
plan,plano
raise,elevação
street,rua
different,diferente
problem,problema
break,quebrar
line,linha
early,cedo
cut,corte
cold,frio
paper,papel
scream,gritar
instead,em vez de
stupid,estúpido
silence,silêncio
tree,árvore
caught,capturado
ear,orelha
food,comida
full,completo
four,quatro
cause,causa
fuck,Porra
explain,explicar
expect,esperar
fight,lutar
exactly,exatamente
sort,organizar
completely,completamente
men,homens
dance,dança
met,de
story,história
whatever,qualquer que seja
build,construir
speak,falar
glass,vidro
pain,dor
check,verificar
glare,brilho
corner,canto
Mrs.,Sra.
chest,peito
hot,quente
rather,em vez de
month,mês
real,real
touch,tocar
park,parque
bring,trazer
they're,eles são
drink,bebida
ago,atrás
force,vigor
you've,você tem
fast,rápido
lost,perdido
attention,atenção
wish,desejar
mark,marca
wave,aceno
shout,gritar
fill,preencher
begin,começar
baby,bebê
interest,interesse
money,dinheiro
fun,diversão
green,verde
however,no entanto
cheek,bochecha
mine,meu
clear,claro
brown,marrom
forward,avançar
near,aproximar
picture,foto
may,poderia
cool,legal
drive,dirigir
hug,abraço
shake,sacudir
sense,senso
alright,tudo bem
you'll,você vai
dream,sonhar
hang,pendurar
clothes,roupas
act,agir
become,tornar-se
manage,gerenciar
meant,significou
game,jogo
ignore,ignorar
stair,escada
taken,levado
party,festa
add,adicionar
sometimes,às vezes
job,trabalho
ten,dez
shot,tomada
date,data
quiet,quieto
gaze,olhar
group,grupo
loud,alto
straight,direto
dead,morto
neck,pescoço
beside,ao lado
pause,pausa
number,número
conversation,conversa
chance,chance
we'll,bem
rose,rosa
quietly,silenciosamente
town,cidade
blood,sangue
color,cor
desk,mesa
dinner,jantar
hall,salão
horse,cavalo
music,música
brought,trouxe
piece,pedaço
anymore,não mais
beautiful,lindo
order,ordem
fire,fogo
office,escritório
TRUE,verdadeiro
although,embora
warm,esquentar
easy,fácil
enter,digitar
perfect,perfeito
mutter,mãe
softly,suavemente
cross,cruzar
shock,choque
smirk,sorria
damn,droga
soft,macio
stomach,estômago
snap,foto
spoke,falou
tire,pneu
box,caixa
catch,pegar
skin,pele
teacher,professor
middle,meio
note,observação
yourself,você mesmo
haven't,não tenho
lunch,almoço
tomorrow,amanhã
breathe,respirar
clean,limpar
except,exceto
appear,aparecer
lock,trancar
knock,bater
bathroom,banheiro
movie,filme
agree,concordar
offer,oferecer
kick,chute
form,forma
confuse,confundir
lay,deitar
less,menos
calm,calma
slip,escorregar
weren't,não eram
sign,sinal
dog,cachorro
lift,elevador
immediately,imediatamente
arrive,chegar
deal,negócio
tonight,essa noite
usually,geralmente
case,caso
frown,carranca
shop,comprar
scare,susto
promise,promessa
mum,mãe
couch,sofá
pay,pagar
state,estado
shit,merda
wrap,enrolar
pocket,bolso
hello,olá
free,livre
huge,enorme
ride,andar de
bother,irmão
land,terra
known,conhecido
especially,especialmente
expression,expressão
carry,carregar
ring,anel
spot,ver
allow,permitir
several,diversos
aren't,não são
during,durante
empty,vazio
lady,senhora
eyebrow,sobrancelha
strange,estranho
coffee,café
road,estrada
threw,jogou
wide,largo
bus,ônibus
forget,esquecer
gotten,pego
smell,cheiro
fear,temer
press,imprensa
boyfriend,namorado
blonde,loiro
throw,lançar
round,redondo
sun,sol
tall,alto
glad,alegre
age,idade
write,escrever
upon,sobre
hide,esconder
became,tornou-se
crowd,multidão
rain,chuva
save,salvar
trouble,dificuldade
annoy,irritar
nose,nariz
weird,esquisito
death,morte
beat,bater
tone,tom
trip,viagem
six,seis
control,controlar
nearly,aproximadamente
consider,considerar
gonna,vai
join,juntar
learn,aprender
above,acima
hi,oi
obviously,obviamente
entire,inteiro
direction,direção
foot,pé
angry,nervoso
power,poder
strong,forte
quick,rápido
doctor,doutor
edge,borda
song,canção
asleep,dormindo
twenty,vinte
barely,por muito pouco
remain,permanecer
child,criança
enjoy,aproveitar
gun,pistola
slow,lento
city,cidade
broke,quebrado
key,chave
lead,liderar
throat,garganta
normal,normal
you'd,você
somewhere,em algum lugar
wake,acordar
pair,par
sky,céu
funny,engraçado
business,negócios
student,estudante
giggle,rir
bright,brilhante
admit,admitir
jeans,jeans
given,dado
children,crianças
store,loja
sweet,doce
low,baixo
climb,escalar
rub,esfregar
apartment,apartamento
knee,joelho
shoe,sapato
attack,ataque
bedroom,quarto
joke,piada
spent,gasto
situation,situação
stuck,preso
gently,suavemente
possible,possível
cell,célula
mention,menção
silent,silencioso
definitely,definitivamente
rush,correr
hung,pendurado
brush,escovar
perhaps,talvez
groan,gemido
ass,é
rock,pedra
card,cartão
lose,perder
blush,corar
besides,além do mais
crazy,louco
type,tipo
bore,chato
afraid,com medo
chase,perseguir
respond,responder
marry,casar
remind,lembrar
pack,pacote
daughter,filha
serious,sério
girlfriend,namorada
mad,louco
somehow,de alguma forma
buy,comprar
sent,enviado
tight,apertado
simply,simplesmente
trust,confiar
imagine,imaginar
wind,vento
chuckle,rir
bar,bar
pink,rosa
shove,empurrão
ball,bola
sight,visão
drag,arrastar
they'd,eles
human,humano
truth,verdade
share,compartilhar
area,área
concern,preocupação
shouldn't,não deveria
team,equipe
escape,escapar
mumble,resmungar
often,muitas vezes
search,procurar
apparently,aparentemente
attempt,tentar
son,filho
within,dentro de
band,banda
cute,bonitinho
led,liderado
memory,memória
anger,raiva
fly,voar
paint,pintar
bottle,garrafa
busy,ocupado
comment,comentário
exclaim,exclamar
avoid,evitar
grow,crescer
grey,cinza
mirror,espelho
gasp,suspiro
hallway,corredor
dear,querido
star,estrela
sick,doente
cat,gato
counter,contador
interrupt,interromper
none,nenhum
blink,piscar
spend,gastar
usual,habitual
worse,pior
locker,armário
important,importante
favorite,favorito
grip,pegada
TV,TV
ice,gelo
pretend,fingir
settle,resolver
amaze,surpreender
pop,pop
disappear,desaparecer
carefully,com cuidado
train,trem
stick,grudar
guard,guarda
teeth,dentes
flash,clarão
uncle,tio
send,enviar
doubt,dúvida
visit,visita
nervous,nervoso
excite,excitar
approach,abordagem
excuse,desculpa
fit,ajustar
noise,barulho
study,estudar
letter,carta
police,polícia
eventually,eventualmente
burn,queimar
field,campo
hospital,hospital
tie,gravata
summer,verão
huh,huh
shift,mudança
self,auto
hurry,pressa
greet,saudar
wife,esposa
position,posição
we've,nós temos
wipe,limpar
heavy,pesado
slam,bater
broken,quebrado
complete,completo
space,espaço
brain,cérebro
tiny,pequeno
pants,calça
ah,ah
punch,soco
shower,banho
tongue,língua
afternoon,tarde
seriously,seriamente
cup,xícara
further,avançar
race,corrida
recognize,reconhecer
computer,computador
rang,tocou
safe,seguro
jacket,jaqueta
bottom,fundo
hundred,centenas
relax,relaxar
sudden,repentino
wow,uau
college,faculdade
flip,virar
mood,humor
track,acompanhar
crack,rachadura
block,bloquear
handle,lidar
themselves,eles mesmos
drove,dirigiu
seven,Sete
struggle,luta
whether,se
ahead,à frente
sad,triste
dry,seco
women,mulheres
focus,foco
repeat,repita
thick,espesso
relationship,relação
jerk,idiota
present,presente
suck,chupar
bell,sino
surround,cercar
evening,noite
bite,morder
single,solteiro
fault,falta
shadow,sombra
wood,madeira
easily,facilmente
woke,acordou
smoke,fumaça
draw,empate
suggest,sugerir
wet,molhado
accept,aceitar
third,terceiro
totally,totalmente
wore,vestiu
breakfast,café da manhã
trail,trilha
animal,animal
warn,avisar
aunt,tia
sir,senhor
piss,mijo
burst,explodido
match,corresponder
fix,consertar
practically,praticamente
odd,chance
wash,lavar
sing,cantar
inch,polegada
size,tamanho
secret,segredo
who's,quem é
clock,relógio
company,empresa
view,visualizar
suit,terno
forever,para sempre
familiar,familiar
forehead,testa
shoot,atirar
grew,cresceu
stretch,esticar
pound,libra
despite,apesar de
response,resposta
center,centro
curl,enrolar
slight,pouco
toss,jogar
beneath,abaixo
fist,punho
welcome,Bem-vindo
laughter,risada
angel,anjo
Christmas,Natal
we'd(would),iríamos
we'd(had),tínhamos
main,principal
simple,simples
neither,nenhum
distance,distância
comfort,conforto
upset,chateado
assume,assumir
eight,oito
gather,juntar
lucky,sortudo
fade,desaparecer
Ms.,senhorita
coat,casaco
special,especial
awkward,estranho
certain,certo
plate,placa
darkness,escuridão
practice,prática
obvious,óbvio
grade,nota
cream,creme
choice,escolha
hardly,dificilmente
pale,pálido
thin,afinar
button,botão
chocolate,chocolate
refuse,recusar
